Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB
Shetty Memorial Inst. of Dental Sce., Mangalur u,Derala katte, Mangalur u, Dakshina Kannada
,
Karnatak a, 575018",863428
MBBS,Deemed/Paid Seats Quota,Open,"ACS
Medical College and Hospital, Chennai, Periyar EVR
High Raod, Velappan chavadi, Chennai- 77, Tamil Nadu, 600077",1218878
MBBS,Non-Resident Indian,Open,"ACS
Medical College and Hospital, Chennai, Periyar EVR
High Raod, Velappan chavadi, Chennai- 77, Tamil Nadu, 600077",739835
MBBS,All India,EWS,"ACSR
Govt Medical College, Nellore,O PP TO AC SUBBA REDDY STADIU M DARGA MITTA NELLOR E
SPSR NELLOR E DISTRIC T,
Andhra Pradesh, 524004",22772
MBBS,All India,OBC,"ACSR
Govt Medical College, Nellore,O PP TO AC SUBBA REDDY STADIU M DARGA MITTA NELLOR E
SPSR NELLOR E DISTRIC T,
Andhra Pradesh, 524004",20987
MBBS,All India,Open,"ACSR
Govt Medical College, Nellore,O PP TO AC SUBBA REDDY STADIU M DARGA MITTA NELLOR E
SPSR NELLOR E DISTRIC T,
Andhra Pradesh, 524004",19762
MBBS,All India,SC,"ACSR
Govt Medical College, Nellore,O PP TO AC SUBBA REDDY STADIU M DARGA MITTA NELLOR E
SPSR NELLOR E DISTRIC T,
Andhra Pradesh, 524004",112352
MBBS,All India,ST,"ACSR
Govt Medical College, Nellore,O PP TO AC SUBBA REDDY STADIU M DARGA MITTA NELLOR E
SPSR NELLOR E DISTRIC T,
Andhra Pradesh, 524004",145124
BDS,All India,EWS,"AGARTA LA GOVT. DENTAL COLLEG E,AGAR TAL,IGM
Hospital Complex, Agartala, West Tripura, PIN- 799001,
Tripura, 799001",31256
BDS,All India,OBC,"AGARTA LA GOVT. DENTAL COLLEG E,AGAR TAL,IGM
Hospital Complex, Agartala, West Tripura, PIN- 799001,
Tripura, 799001",27647
BDS,All India,Open,"AGARTA LA GOVT. DENTAL COLLEG E,AGAR TAL,IGM
Hospital Complex, Agartala, West Tripura, PIN- 799001,
Tripura, 799001",26297
BDS,All India,SC,"AGARTA LA GOVT. DENTAL COLLEG E,AGAR TAL,IGM
Hospital Complex, Agartala, West Tripura, PIN- 799001,
Tripura, 799001",143654
MBBS,All India,EWS,"AGARTA LA GOVT. MEDICA L COLLEG E,AGAR TALA,Ku
njaban, Agartala, Tripura West, Tripura, 799006",22665
MBBS,All India,OBC,"AGARTA LA GOVT. MEDICA L COLLEG E,AGAR TALA,Ku
njaban, Agartala, Tripura West, Tripura, 799006",22435
MBBS,All India,Open,"AGARTA LA GOVT. MEDICA L COLLEG E,AGAR TALA,Ku
njaban, Agartala, Tripura West, Tripura, 799006",21742
MBBS,All India,SC,"AGARTA LA GOVT. MEDICA L COLLEG E,AGAR TALA,Ku
njaban, Agartala, Tripura West, Tripura, 799006",111081
MBBS,All India,ST,"AGARTA LA GOVT. MEDICA L COLLEG E,AGAR TALA,Ku
njaban, Agartala, Tripura West, Tripura, 799006",152430
MBBS,Open Seat Quota,OBC,"AIIMS
Bathinda
,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",2245
MBBS,Open Seat Quota,Open,"AIIMS
Bathinda
,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",1973
MBBS,Open Seat Quota,Open PwD,"AIIMS
Bathinda
,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",338800
MBBS,Open Seat Quota,ST,"AIIMS
Bathinda
,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",55959
MBBS,Open Seat Quota,EWS,"AIIMS
Bilaspur Changar Palasiya n, Himachal Pradesh, All India Institute of Medical Sciences AIIMS
Bilaspur Kothipur a BILASPU R
Himachal Pradesh 174001,
Himachal Pradesh, 174001",4611
MBBS,Open Seat Quota,OBC,"AIIMS
Bilaspur Changar Palasiya n, Himachal Pradesh, All India Institute of Medical Sciences AIIMS
Bilaspur Kothipur a BILASPU R
Himachal Pradesh 174001,
Himachal Pradesh, 174001",3905
MBBS,Open Seat Quota,Open,"AIIMS
Bilaspur Changar Palasiya n, Himachal Pradesh, All India Institute of Medical Sciences AIIMS
Bilaspur Kothipur a BILASPU R
Himachal Pradesh 174001,
Himachal Pradesh, 174001",3238
MBBS,Open Seat Quota,ST,"AIIMS
Bilaspur Changar Palasiya n, Himachal Pradesh, All India Institute of Medical Sciences AIIMS
Bilaspur Kothipur a BILASPU R
Himachal Pradesh 174001,
Himachal Pradesh, 174001",58954
MBBS,Open Seat Quota,EWS,"AIIMS
Guwahati
,PO- CHANG SARI, DISTRIC T- KAMRU P,
Assam, 781101",6204
MBBS,Open Seat Quota,OBC,"AIIMS
Guwahati
,PO- CHANG SARI, DISTRIC T- KAMRU P,
Assam, 781101",5358
MBBS,Open Seat Quota,Open,"AIIMS
Guwahati
,PO- CHANG SARI, DISTRIC T- KAMRU P,
Assam, 781101",4848
MBBS,Open Seat Quota,SC,"AIIMS
Guwahati
,PO- CHANG SARI, DISTRIC T- KAMRU P,
Assam, 781101",42968
MBBS,Open Seat Quota,EWS,"AIIMS
Jammu,A IIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",5653
MBBS,Open Seat Quota,OBC,"AIIMS
Jammu,A IIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",5484
MBBS,Open Seat Quota,Open,"AIIMS
Jammu,A IIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",4558
MBBS,Open Seat Quota,ST,"AIIMS
Jammu,A IIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",56109
MBBS,Open Seat Quota,OBC,"AIIMS
Mangala giri ,ALL INDIA INSTITU TE OF MEDICA L SCIENC ES NEAR TADEPA LLI MANGAL AGIRI GUNTU R (Dt) ANDHRA PRADES H,
Andhra Pradesh, 522503",3528
MBBS,Open Seat Quota,Open,"AIIMS
Mangala giri ,ALL INDIA INSTITU TE OF MEDICA L SCIENC ES NEAR TADEPA LLI MANGAL AGIRI GUNTU R (Dt) ANDHRA PRADES H,
Andhra Pradesh, 522503",1606
MBBS,Open Seat Quota,Open PwD,"AIIMS
Mangala giri ,ALL INDIA INSTITU TE OF MEDICA L SCIENC ES NEAR TADEPA LLI MANGAL AGIRI GUNTU R (Dt) ANDHRA PRADES H,
Andhra Pradesh, 522503",113602
MBBS,Open Seat Quota,SC,"AIIMS
Mangala giri ,ALL INDIA INSTITU TE OF MEDICA L SCIENC ES NEAR TADEPA LLI MANGAL AGIRI GUNTU R (Dt) ANDHRA PRADES H,
Andhra Pradesh, 522503",15752
MBBS,Open Seat Quota,EWS,"AIIMS
Rajkot,M BBS
admissio n cell Room No.3,
Ground floor, AYUSH,
Permane nt Campus, AIIMS
Rajkot, Khanderi
, Gujarat, 360006",4556
MBBS,Open Seat Quota,OBC,"AIIMS
Rajkot,M BBS
admissio n cell Room No.3,
Ground floor, AYUSH,
Permane nt Campus, AIIMS
Rajkot, Khanderi
, Gujarat, 360006",4013
MBBS,Open Seat Quota,Open,"AIIMS
Rajkot,M BBS
admissio n cell Room No.3,
Ground floor, AYUSH,
Permane nt Campus, AIIMS
Rajkot, Khanderi
, Gujarat, 360006",3259
MBBS,Open Seat Quota,Open,"AIIMS,
Bhubane swar,AT
- Sijua, POST - DUMUD UMA, BHUBAN ESWAR- 751019,
Odisha, 751019",603
MBBS,Open Seat Quota,SC,"AIIMS,
Bhubane swar,AT
- Sijua, POST - DUMUD UMA, BHUBAN ESWAR- 751019,
Odisha, 751019",6720
MBBS,Open Seat Quota,EWS,"AIIMS,
Bibi Nagar, Hyderab ad,AIIMS
Bibinagar (Hyderab ad Metropoli tan Region) Telangan a 508126,
Telangan a, 508126",4472
MBBS,Open Seat Quota,OBC,"AIIMS,
Bibi Nagar, Hyderab ad,AIIMS
Bibinagar (Hyderab ad Metropoli tan Region) Telangan a 508126,
Telangan a, 508126",4644
MBBS,Open Seat Quota,Open,"AIIMS,
Bibi Nagar, Hyderab ad,AIIMS
Bibinagar (Hyderab ad Metropoli tan Region) Telangan a 508126,
Telangan a, 508126",2811
MBBS,Open Seat Quota,SC,"AIIMS,
Bibi Nagar, Hyderab ad,AIIMS
Bibinagar (Hyderab ad Metropoli tan Region) Telangan a 508126,
Telangan a, 508126",29619
MBBS,Open Seat Quota,EWS,"AIIMS,
Deogarh
,AIIMS
Deoghar Devipur, Jharkhan d
India, PIN - 814152,
Jharkhan d, 814152",5167
MBBS,Open Seat Quota,OBC,"AIIMS,
Deogarh
,AIIMS
Deoghar Devipur, Jharkhan d
India, PIN - 814152,
Jharkhan d, 814152",4777
MBBS,Open Seat Quota,Open,"AIIMS,
Deogarh
,AIIMS
Deoghar Devipur, Jharkhan d
India, PIN - 814152,
Jharkhan d, 814152",4732
MBBS,Open Seat Quota,SC,"AIIMS,
Deogarh
,AIIMS
Deoghar Devipur, Jharkhan d
India, PIN - 814152,
Jharkhan d, 814152",42628
MBBS,Open Seat Quota,ST,"AIIMS,
Deogarh
,AIIMS
Deoghar Devipur, Jharkhan d
India, PIN - 814152,
Jharkhan d, 814152",74873
MBBS,Open Seat Quota,EWS,"AIIMS,
Gorakhp ur ,AIIMS
Gorakhp ur, Medical College Building, Kunragh at, Gorakhp ur, Uttar Pradesh, 273008",3296
MBBS,Open Seat Quota,Open,"AIIMS,
Gorakhp ur ,AIIMS
Gorakhp ur, Medical College Building, Kunragh at, Gorakhp ur, Uttar Pradesh, 273008",2600
MBBS,Open Seat Quota,SC,"AIIMS,
Gorakhp ur ,AIIMS
Gorakhp ur, Medical College Building, Kunragh at, Gorakhp ur, Uttar Pradesh, 273008",30836
MBBS,Open Seat Quota,OBC,"AIIMS,
Jodhpur, BASNI PHASE - II, JODHPU R- 342005,
Rajastha n, 342005",1086
MBBS,Open Seat Quota,Open,"AIIMS,
Jodhpur, BASNI PHASE - II, JODHPU R- 342005,
Rajastha n, 342005",534
MBBS,Open Seat Quota,EWS,"AIIMS,
Kalyani, NH-34
Connect or, Basantap ur, Saguna, Kalyani, 741245,
West Bengal, India, West Bengal, 741245",4657
MBBS,Open Seat Quota,OBC,"AIIMS,
Kalyani, NH-34
Connect or, Basantap ur, Saguna, Kalyani, 741245,
West Bengal, India, West Bengal, 741245",3848
