Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru , Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",1194646
MBBS,Deemed/Paid Seats Quota,Open,"ACS Medical College and Hospital, Chennai
, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",1099441
MBBS,All India,EWS,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",21242
MBBS,All India,OBC,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",19485
MBBS,All India,Open,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",17807
MBBS,All India,Open PwD,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",554514
MBBS,All India,SC,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",102086
MBBS,All India,ST,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",126556
BDS,All India,EWS,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL
, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura,
799001",31411
BDS,All India,OBC,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL
, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura,
799001",29393
BDS,All India,Open,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL
, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura,
799001",28397
BDS,All India,SC,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL
, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura,
799001",116672
MBBS,All India,EWS,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",23648
MBBS,All India,OBC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",21507
MBBS,All India,Open,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",20594
MBBS,All India,SC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",108300
