Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",1208898
MBBS,Deemed/Paid Seats Quota,Open,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",599400
MBBS,All India,Open,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",23318
MBBS,All India,SC,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",124235
BDS,All India,EWS,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",34007
BDS,All India,OBC,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",41261
BDS,All India,Open,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",30785
BDS,All India,SC,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",131786
MBBS,All India,Open,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",17224
MBBS,Open Seat Quota,Open,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",6478
MBBS,Open Seat Quota,Open PwD,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",461433
MBBS,Open Seat Quota,ST,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",118736
MBBS,Open Seat Quota,OBC,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",8454
MBBS,Open Seat Quota,Open,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",7155
