Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",998626
BDS,All India,EWS,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",73762
BDS,All India,OBC,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",73535
BDS,All India,Open,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",70638
BDS,All India,SC,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",216720
BDS,Deemed/Paid Seats Quota,Open,"Amrita School of Dentistry, Kochi,Amrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS), AIMS Ponekkara P.O, Kochi, Kerala, 682041",899538
BDS,Deemed/Paid Seats Quota,Open,"BVDU Dental College and Hospital, Navi Mumbai,Bharati Vidyapeeth Dental College and Hospital, Sec.7, Belapur Navi Mumbai., Maharashtra, 400614",465054
BDS,Deemed/Paid Seats Quota,Open,"BVDU Dental College and Hospital, Sangli,Sangli-Miraj Road, Wanlesswadi Sangli., Maharashtra, 416414",833869
BDS,Deemed/Paid Seats Quota,Open,"Bharati Vidyapeeth DU Dental College and Hospt., Pune,Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune, Maharashtra, 411043",1147581
BDS,All India,EWS,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",57561
BDS,All India,OBC,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",48467
BDS,All India,Open,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",37416
BDS,All India,SC,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",198782
BDS,All India,ST,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",234700
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College,Ahilya Bai College of Nursing
Lok Nayak Hospital
Jawaharlal Nehru Marg, Delhi (NCT), 110002",125001
B.Sc. Nursing,B.Sc Nursing Delhi NCR,Open,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College,Ahilya Bai College of Nursing
Lok Nayak Hospital
Jawaharlal Nehru Marg, Delhi (NCT), 110002",208342
B.Sc. Nursing,B.Sc Nursing All India,EWS,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",162000
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",126137
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",101767
B.Sc. Nursing,B.Sc Nursing All India,SC,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",270742
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",456587
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001",156253
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001",147096
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001",463317
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095",175605
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095",164644
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095",470985
