Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",1022856
MBBS,Deemed/Paid Seats Quota,Open,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",847521
MBBS,All India,EWS,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",16628
MBBS,All India,OBC,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",15370
MBBS,All India,Open,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",13231
MBBS,All India,SC,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",78769
MBBS,All India,ST,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",93006
MBBS,All India,EWS,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",17357
MBBS,All India,OBC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",16590
MBBS,All India,Open,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",14566
MBBS,All India,SC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",69450
MBBS,All India,ST,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",115023
MBBS,Open Seat Quota,EWS,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",2776
MBBS,Open Seat Quota,OBC,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",2645
MBBS,Open Seat Quota,OBC PwD,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",417797
MBBS,Open Seat Quota,Open,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",1920
MBBS,Open Seat Quota,Open PwD,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",270270
MBBS,Open Seat Quota,SC,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",26023
MBBS,Open Seat Quota,SC PwD,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",760127
MBBS,Open Seat Quota,ST,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",47441
MBBS,Open Seat Quota,EWS,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",3995
MBBS,Open Seat Quota,EWS PwD,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",544408
MBBS,Open Seat Quota,OBC,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",4167
MBBS,Open Seat Quota,OBC PwD,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",480601
MBBS,Open Seat Quota,Open,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",3109
MBBS,Open Seat Quota,Open PwD,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",372629
MBBS,Open Seat Quota,SC,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",32681
MBBS,Open Seat Quota,ST,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",61539
MBBS,Open Seat Quota,EWS,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",6002
MBBS,Open Seat Quota,OBC,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",5374
MBBS,Open Seat Quota,OBC PwD,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",483400
MBBS,Open Seat Quota,Open,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",4073
MBBS,Open Seat Quota,Open PwD,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",351572
MBBS,Open Seat Quota,SC,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",42818
MBBS,Open Seat Quota,SC PwD,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",841621
MBBS,Open Seat Quota,ST,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",65153
MBBS,Open Seat Quota,EWS,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",6046
MBBS,Open Seat Quota,OBC,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",5595
MBBS,Open Seat Quota,OBC PwD,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",519284
MBBS,Open Seat Quota,Open,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",4497
MBBS,Open Seat Quota,Open PwD,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",153731
MBBS,Open Seat Quota,SC,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",41557
MBBS,Open Seat Quota,SC PwD,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",749943
MBBS,Open Seat Quota,ST,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",71858
MBBS,Open Seat Quota,EWS,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",3498
MBBS,Open Seat Quota,EWS PwD,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",532943
MBBS,Open Seat Quota,OBC,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",3530
MBBS,Open Seat Quota,OBC PwD,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",412694
MBBS,Open Seat Quota,Open,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",2383
MBBS,Open Seat Quota,Open PwD,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",385511
MBBS,Open Seat Quota,SC,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",31673
MBBS,Open Seat Quota,SC PwD,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",431160
MBBS,Open Seat Quota,ST,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",47155
MBBS,Open Seat Quota,EWS,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",4061
MBBS,Open Seat Quota,OBC,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",3678
MBBS,Open Seat Quota,Open,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",2790
MBBS,Open Seat Quota,Open PwD,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",339495
MBBS,Open Seat Quota,SC,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",28813
MBBS,Open Seat Quota,SC PwD,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",691721
MBBS,Open Seat Quota,ST,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",47365
MBBS,Open Seat Quota,EWS,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",1741
MBBS,Open Seat Quota,EWS PwD,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",228534
MBBS,Open Seat Quota,OBC,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",1413
MBBS,Open Seat Quota,OBC PwD,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",313834
MBBS,Open Seat Quota,Open,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",564
MBBS,Open Seat Quota,Open PwD,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",183482
MBBS,Open Seat Quota,SC,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",7825
MBBS,Open Seat Quota,SC PwD,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",367368
MBBS,Open Seat Quota,ST,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",25410
MBBS,Open Seat Quota,EWS,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126",4254
MBBS,Open Seat Quota,OBC,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126",4480
MBBS,Open Seat Quota,OBC PwD,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126",412323
